feature,importance
"format_Vinyl, 12"", 33 ⅓ RPM, Single, Promo",8.097168016665868e-05
"style_Techno, Drum n Bass, Big Beat",7.931076419184136e-05
"format_Vinyl, LP, Compilation, Test Pressing, Vinyl, 12"", 45 RPM, Test Pressing",7.884887240847047e-05
"style_Techno, Psy-Trance, Electro",7.866626126547592e-05
"format_Vinyl, LP, Album, Promo, Reissue, White Label",7.824053341935274e-05
country_UK & Ireland,7.804608060513799e-05
"style_Techno, Euro House",7.743727041483135e-05
"style_Hardcore, Techno, Experimental",7.711194234003402e-05
"format_Vinyl, 12"", 33 ⅓ RPM, Repress",7.695898870055101e-05
"style_Techno, Progressive House",7.688620726882265e-05
"style_Techno, Experimental, Acid",7.650568728812245e-05
"format_Vinyl, 12"", Single",7.636636507256718e-05
"style_Techno, Electro, Experimental",7.633247922915224e-05
"style_Dark Ambient, Hardcore, Techno, Dub Techno, Experimental",7.62820387752559e-05
"style_House, J-pop, Techno, Breaks",7.614031327353743e-05
"format_Vinyl, 12"", 33 ⅓ RPM, Album, Limited Edition, Promo",7.611484801537921e-05
"style_Techno, Acid, Experimental, Ambient",7.58326343524367e-05
"style_Electro House, Minimal Techno",7.514752566560729e-05
"format_Vinyl, 7""",7.49473498744065e-05
"format_Vinyl, LP, Album, Promo, Sampler",7.42145718965338e-05
"style_Tribal, Techno, Minimal",7.411747276160526e-05
style_Minimal Techno,7.410793995994536e-05
"format_Vinyl, 12"", EP, Promo",7.40470300387431e-05
"format_Vinyl, 12"", 33 ⅓ RPM, EP, Promo, White Label",7.375829081895542e-05
"style_Techno, Progressive Trance, Acid",7.352580880866613e-05
"format_Vinyl, 12"", 45 RPM, 33 ⅓ RPM, EP",7.342717817748554e-05
"style_Hardcore, Gabber, Techno",7.330846573292463e-05
"style_Acid, Techno",7.323925093313356e-05
"style_Techno, Trance, Acid",7.296360892870741e-05
"format_Vinyl, 12"", Misprint",7.286480590952453e-05
"format_Vinyl, 12"", Album, Vinyl, 12"", Single Sided, Limited Edition",7.285800338659652e-05
"format_Vinyl, 12"", Repress",7.27163193861481e-05
"style_Breaks, Techno, Electro",7.26802366384127e-05
"style_House, Techno, Deep House",7.250303104034082e-05
"style_Rhythmic Noise, Illbient, Dub, Techno",7.249396144448938e-05
"style_Euro House, Trance, Techno",7.237477315061874e-05
"format_Vinyl, 12"", Promo, Test Pressing",7.139971747025798e-05
"format_Vinyl, 12"", Picture Disc",7.13602822210214e-05
"style_Techno, Acid, Euro House, Hard Trance",7.128494735778909e-05
"format_Vinyl, 12"", 45 RPM, Vinyl, 10"", 33 ⅓ RPM, Vinyl, 7"", 45 RPM",7.118417326747247e-05
"style_EBM, Techno, Industrial",7.068369267184794e-05
"style_Techno, Acid, Breakbeat",7.050060111263576e-05
"style_RnB/Swing, House, Techno",7.039709823390022e-05
"format_Vinyl, 12"", 33 ⅓ RPM, EP, Picture Disc",7.014539200656733e-05
"style_Downtempo, Techno, Trip Hop",6.958514357455611e-05
"style_IDM, Acid, Techno",6.79435866722498e-05
"style_Ambient, Techno",6.792996690337165e-05
"format_Vinyl, 12"", 33 ⅓ RPM, Album",6.67307667620613e-05
"style_Techno, Italodance",6.589974645009629e-05
"style_Hard Trance, Techno, Acid",6.55634850384732e-05
"style_Trance, Acid, Techno, Tribal",6.550303331513812e-05
"style_Minimal Techno, Techno, Downtempo",6.549838593626452e-05
"format_Vinyl, 10"", 33 ⅓ RPM, Limited Edition, Promo, White Label",6.543088412451092e-05
"format_Vinyl, 12"", 45 RPM, EP, Stereo",6.529958856614314e-05
"genre_Electronic, Hip Hop",6.521363469101085e-05
